id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1598941223821094912	1598941223821094912	2022-12-03 14:24:29 SE Asia Standard Time	2022-12-03	14:24:29	+0700	97472686	miqdadhusein	Media Penyangga		Jelang Pemilu 2024, Ini 5 Arahan Penting Presiden Jokowi  https://t.co/qHq4CLJ762	in	[]	['https://www.koranmadura.com/2022/12/jelang-pemilu-2024-ini-5-arahan-penting-presiden-jokowi/']	[]	0	0	0	[]	[]	https://twitter.com/miqdadhusein/status/1598941223821094912	False		0								[]				
1598941049455771648	1598941049455771648	2022-12-03 14:23:47 SE Asia Standard Time	2022-12-03	14:23:47	+0700	2744418961	ayuriandin	#KabarBaik		Lima arahan Presiden Jokowi terkait kesiapan pelaksanaan Pemilu serentak 2024  https://t.co/8bahqrjDyV	in	[]	[]	[]	0	1	1	[]	[]	https://twitter.com/AyuriAndin/status/1598941049455771648	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1598940773420249089/pu/img/Ybi8sIqHB5T0x2Yv.jpg							[]				
1598940844270174208	1598940844270174208	2022-12-03 14:22:58 SE Asia Standard Time	2022-12-03	14:22:58	+0700	1548333621312131072	genzpedia	Genzpedia com		Jaga Kondusifitas Keamanan Pemilu 2024, Polres Tarakan Gandeng Insan Media  https://t.co/GXL0tC2AGo	in	[]	['https://genzpedia.com/jaga-kondusifitas-keamanan-pemilu-2024-polres-tarakan-gandeng-insan-media/']	[]	0	0	0	[]	[]	https://twitter.com/genzpedia/status/1598940844270174208	False		0								[]				
1598940618155126786	1598940618155126786	2022-12-03 14:22:04 SE Asia Standard Time	2022-12-03	14:22:04	+0700	862301783120502784	prokabar	ProKabar.com		Partai Golkar Sumbar Beri Pembekalan Fungsionaris Partai Hadapi Pemilu 2024. Kunjungi  https://t.co/lqiBbUtqrx . #GolkarSumbar #mbb #vky  https://t.co/cYuNl3miCC	in	[]	['https://prokabar.com/partai-golkar-sumbar-beri-pembekalan-fungsionaris-partai-hadapi-pemilu-2024/']	['https://pbs.twimg.com/media/FjCUBK3aUAEqpoD.jpg']	0	0	0	['golkarsumbar', 'mbb', 'vky']	[]	https://twitter.com/prokabar/status/1598940618155126786	False		1	https://pbs.twimg.com/media/FjCUBK3aUAEqpoD.jpg							[]				
1598940131914047488	1598940131914047488	2022-12-03 14:20:08 SE Asia Standard Time	2022-12-03	14:20:08	+0700	1182512199106875392	bedagaikpu	KPU Kab Serdang Bedagai		#TemanPemilih, Anda dapat menyampaikan tanggapan masyarakat dan masukan tentang perekrutan calon  Anggota PPK pada  Pemilu Tahun 2024 dengan mengisi formulir dalam link  https://t.co/ajSLZQGGn0  #KPUMelayani #PemilihanSerentak2024  https://t.co/eS7EIl2vTw	in	[]	['http://bit.ly/FormulirTanggapanmasyarakat']	['https://pbs.twimg.com/media/FjCTkRAVUAA7gZ1.jpg']	0	0	0	['temanpemilih', 'kpumelayani', 'pemilihanserentak2024']	[]	https://twitter.com/BedagaiKpu/status/1598940131914047488	False		1	https://pbs.twimg.com/media/FjCTkRAVUAA7gZ1.jpg							[]				
1598940033884786688	1598940033884786688	2022-12-03 14:19:45 SE Asia Standard Time	2022-12-03	14:19:45	+0700	1132618167635697665	yogapras_	Yoga Pras		Tahun depan tahun politik. Apa saja arahan pak @jokowi terkait pelaksanaan pemilu serentak 2024 ?  https://t.co/Zqt5DKZi9e	in	[{'screen_name': 'jokowi', 'name': 'joko widodo', 'id': '366987179'}]	[]	['https://pbs.twimg.com/media/FjCTfIuaAAE5S_d.jpg']	0	1	1	[]	[]	https://twitter.com/YogaPras_/status/1598940033884786688	False		1	https://pbs.twimg.com/media/FjCTfIuaAAE5S_d.jpg							[]				
1598939601330229248	1598939601330229248	2022-12-03 14:18:02 SE Asia Standard Time	2022-12-03	14:18:02	+0700	910876248770936832	bawaslupolman	Bawaslu_Polman		Repost Bawaslu RI  #SahabatBawaslu, selamat hari disabiltas internasional. Bawaslu berkomitmen untuk selalu memberikan hak yang setara bagi difabel dalam pemilu dan demokrasi.  #BawasluBerkolaborasi #AyoAwasiBersama  https://t.co/TgIWGKGrG3	in	[]	['https://www.instagram.com/p/ClsnaAFyZDS/?igshid=YTgzYjQ4ZTY=']	[]	0	0	0	['sahabatbawaslu', 'bawasluberkolaborasi', 'ayoawasibersama']	[]	https://twitter.com/bawaslupolman/status/1598939601330229248	False		0								[]				
1598939534607396869	1598939534607396869	2022-12-03 14:17:46 SE Asia Standard Time	2022-12-03	14:17:46	+0700	1163664470851244032	bawasluselayar	Bawaslu Kab. Kepulauan Selayar		Sosialisasi desa pengawasan dan anti politik uang adalah bentuk ikhtiar dari Bawaslu Selayar dalam mengawal setiap tahapan pelaksanaan pemilu dan pemilihan. Sabtu 3/12/2022. . . #humasbawasluselayar #bawasluselayar #BawasluMengawasi #CegahAwasiTindak #PemiluSerentak2024  https://t.co/51Kq2hEFPx	in	[]	[]	['https://pbs.twimg.com/media/FjCTBtnUoAEQoWa.jpg']	0	0	0	['humasbawasluselayar', 'bawasluselayar', 'bawaslumengawasi', 'cegahawasitindak', 'pemiluserentak2024']	[]	https://twitter.com/BawasluSelayar/status/1598939534607396869	False		1	https://pbs.twimg.com/media/FjCTBtnUoAEQoWa.jpg							[]				
1598939523316346880	1598588607736188928	2022-12-03 14:17:43 SE Asia Standard Time	2022-12-03	14:17:43	+0700	580874912	kardinalinal76	oyen		@akuanak95595151 @Kelvin_Sewwotz @JamalBoegis @NasDem Pemilu yang ter aneh yg pernah di laksanakan	in	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/kardinalinal76/status/1598939523316346880	False		0								[{'screen_name': 'akuanak95595151', 'name': 'cuma-tambalban/bukantaliban', 'id': '1254669200804605954'}, {'screen_name': 'Kelvin_Sewwotz', 'name': 'User', 'id': '374649252'}, {'screen_name': 'JamalBoegis', 'name': 'JAMAL BUGIS 7.0', 'id': '121425273'}, {'screen_name': 'NasDem', 'name': 'Partai NasDem', 'id': '109149190'}]				
1598939287357358081	1598939287357358081	2022-12-03 14:16:47 SE Asia Standard Time	2022-12-03	14:16:47	+0700	183250913	senkomsidoarjo	Senkom Sidoarjo		6000 Peserta Ikuti Jalan Sehat KPU RI, Konsolidasi Nasional Kesiapan Pemilu Tahun 2024   https://t.co/OU9O1H4GYs	in	[]	['http://www.senkomsidoarjo.or.id/2022/12/6000-peserta-ikuti-jalan-sehat-kpu-ri-konsolidasi-nasional-kesiapan-pemilu-tahun-2024.html?m=1']	[]	0	0	0	[]	[]	https://twitter.com/Senkomsidoarjo/status/1598939287357358081	False		0								[]				
